ID,LACT,DIMatSample,DIMatBreeding,DateofBreeding,ReasonBred,Milking.Shift,Fat...D,CU.Protein,CU.Lactose,Tot.Solids,SNF,NPN.CU,Denovo.FA,Mixed.FA,Performed.FA,DeNovo.Cal.Rel.,Mixed.Cal.Rel..,Preformed.Cal.Rel..,mChainL,mUnsat,PalmiticAcid,StearicAcid,OleicAcid,C181T10,C181T11,SatFAmasspermass,MonoFAmasspermass,PolyFAsmasspermass,FreeFA,CisFAmasspermass,TransFAmasspermass,CitricAcid,BHB,Acetone,Blood.NEFA..ueq.L.,Conductivity,preg
1800,6,54,64,10/23/16,Lut2,M1,1.6765,2.8565,4.3344,9.967,8.269,6.8,0.34,0.56,0.67,21.71,35.53,42.75,14.84,0.35,0.52,0.17,0.44,0.008,0.009,1.01,0.54,0.07,1.3,0.55,0.03,1281,0,0.01,263.98,8.41,FALSE
1800,6,55,64,10/23/16,Lut2,M1,4.2396,2.7488,4.239,12.326,8.056,5.6,0.86,1.47,1.63,21.86,37.05,41.09,14.92,0.35,1.36,0.37,1.06,0.03,0.031,2.57,1.31,0.18,2.1,1.33,0.1,1216,0.05,0.08,324.4,8.08,FALSE
1800,6,58,64,10/23/16,Lut2,M1,3.4505,2.8123,4.2108,11.574,8.095,8.5,0.76,1.26,1.23,23.35,38.82,37.83,14.77,0.32,1.17,0.29,0.8,0.016,0.02,2.18,0.99,0.13,1.8,1.02,0.06,1132,0.02,0.03,201.01,8.29,FALSE
1800,6,60,64,10/23/16,Lut2,M1,5.5644,2.7579,4.1285,13.552,7.954,8.9,1.18,2.1,1.9,22.7,40.53,36.77,14.92,0.32,1.94,0.41,1.32,0.035,0.035,3.47,1.64,0.2,2.9,1.66,0.12,1207,0.06,0.08,189.97,7.94,FALSE
1800,6,61,64,10/23/16,Lut2,M1,2.1859,2.8868,4.2226,10.398,8.187,9.8,0.47,0.81,0.76,23.11,39.79,37.09,14.8,0.34,0.75,0.17,0.53,0.012,0.011,1.36,0.66,0.07,1.6,0.66,0.04,1252,-0.01,-0.02,186.99,8.75,FALSE
1800,6,62,64,10/23/16,Lut2,M1,1.3555,2.9306,4.3121,9.702,8.327,9.5,0.3,0.49,0.5,23.29,37.89,38.83,14.77,0.33,0.46,0.14,0.31,0.002,0.004,0.87,0.38,0.04,1.1,0.39,0.01,1197,-0.01,-0.02,175.68,8.85,FALSE
1800,6,65,64,10/23/16,Lut2,M1,2.9945,2.8851,4.2128,11.168,8.155,6.6,0.63,1.12,1.07,22.33,39.76,37.92,14.79,0.32,1.05,0.27,0.68,0.013,0.012,1.9,0.85,0.1,1.7,0.88,0.04,1193,0.01,0.01,167.38,8.37,FALSE
1800,6,67,64,10/23/16,Lut2,M1,3.0386,2.9568,4.2678,11.344,8.291,8.3,0.68,1.16,1.02,23.59,40.68,35.73,14.75,0.31,1.09,0.25,0.64,0.018,0.01,1.96,0.84,0.1,1.9,0.85,0.05,1230,0.02,0.04,183.59,8.26,FALSE
1800,6,68,64,10/23/16,Lut2,M1,2.4604,2.9581,4.2264,10.721,8.245,9.7,0.53,0.95,0.84,22.78,41.18,36.04,14.76,0.32,0.89,0.21,0.54,0.014,0.002,1.58,0.69,0.07,1.8,0.7,0.03,1234,0.01,0.03,160.41,8.52,FALSE
1800,6,69,64,10/23/16,Lut2,M1,3.1816,2.9898,4.1994,11.455,8.258,10.3,0.69,1.22,1.08,23.1,40.82,36.07,14.75,0.31,1.14,0.26,0.7,0.014,0.005,2.05,0.89,0.1,2,0.92,0.04,1248,0.03,0.05,159.76,8.38,FALSE
1817,5,70,89,4/23/16,TimeBred,M1,3.6304,3.04685,4.29245,12.0315,8.391,21.55,0.855,1.205,1.56,23.66,33.33,43.01,14.32,0.325,1.2,0.31,0.65,0.042,0.078,2.36,0.99,0.18,-0.7,0.93,0.16,2334,0.075,0.115,528.755,7.37,FALSE
